Utente;1;2;3;4;5;6;7;7.1;8;9;10;11.1;11.2;11.3;12;13;14
1;Y;4;V;4;4;4;N;;4;3;3;0.5;0.5;0.5;4;4;Penso vanno bene così
2;N;5;A;5;3;2;Y;Oltre a vedere modificare i controlli iniziavo ad intuire il senso del video;5;3;2;0.8;0.94;0.93;5;5;
3;Y;5;V;4;4;3;N;;3;3;2;1;0.51;0.48;4;4;
4;N;3;A;5;4;5;Y;;5;5;5;0.93;1;1;1;4;
5;Y;5;V;4;3;4;Y;Divertente;4;5;5;1;0.58;0.7;2;3;Rendere l'interfaccia video più complessa e interessante
6;N;2;A;3;3;2;Y;Non ho capito cosa facesse il controllo analogico nell'interfaccia video;4;4;4;0.61;0.66;0.56;5;4;
7;N;4;V;4;4;2;N;;3;2;5;0.82;0.48;0.68;2;5;
8;N;4;A;3;1;4;N;;3;3;4;0.46;0.62;0.75;3;4;
9;N;4;V;4;4;3;N;;5;5;5;0.82;1;1;5;5;Migliorare la vibrazione del joystick
10;N;2;A;4;2;4;S;Il feedback aptico mi sembrava poco relazionato alla musica;3;2;3;0.6;0.51;0.45;1;4;Punti e palline più grandi/visibili
